SSDSE-A-2026,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R31364,íπéÊåß,éOí©í¨,6060,2875,3185,5995,2849,3146,676,352,324,2962,1502,1460,2408,1015,1393,1307,468,839,61,13,129,79,109,2230,2222,5901,1124,601,676,314,368,10,4,23352,2687,193,4,0,0,12,8,0,0,4,41,3,15,4,42,15,5,17,6,17,1919,18,0,0,55,205,0,0,26,194,10,28,12,661,41,77,501,33,58,319,251,67,83.3,7.9,6684884,650671,6559422,1229502,354079,1345172,299539,0,0,1,27,271,1,22,142,0,0,0,0,0,0,3030,1631,1399,76,51,25,2210,807,1403,353,576,2015,2,1,5892,85,34,18,0,1,3,2,12,2,8,3
R31370,íπéÊåß,ìíóúïlí¨,16055,7657,8398,15955,7636,8319,2264,1158,1106,8602,4253,4349,5139,2220,2919,2578,936,1642,91,111,275,452,435,5682,5659,15587,3208,1299,1487,698,746,41,31,7793,3421,528,8,3,0,67,34,5,1,7,140,9,27,11,57,51,20,40,8,40,3808,66,15,0,353,521,38,2,104,801,52,91,41,422,194,94,752,53,209,557,433,151,87.8,6.3,11005142,1502454,10622814,3438655,1341947,1042772,219795,0,0,3,81,917,2,53,539,0,0,0,0,1,80,8287,4313,3974,269,175,94,4893,1836,3057,1017,1716,5464,3,1,16213,259,121,30,0,0,11,5,9,4,11,4
R31371,íπéÊåß,ã’âYí¨,16365,7682,8683,16166,7630,8536,1979,976,1003,8356,4147,4209,6028,2558,3470,3321,1230,2091,199,79,321,225,370,5769,5751,15945,3001,1374,1710,780,772,31,19,13997,5245,656,30,1,0,74,41,0,2,17,174,9,26,24,59,69,12,53,12,53,5980,204,10,0,740,2084,0,26,202,1044,68,57,72,237,162,67,681,83,243,928,409,158,91.3,12.9,12744188,1738586,12029259,3469132,997712,831396,355540,0,0,5,86,763,2,47,437,0,0,0,0,0,0,8598,4511,4087,284,186,98,5339,1919,3420,1627,2093,4807,9,2,16228,2127,147,52,0,0,12,6,12,8,18,1
R31372,íπéÊåß,ñkâhí¨,14228,6818,7410,14121,6792,7329,1793,950,843,7352,3691,3661,5060,2161,2899,2504,943,1561,104,77,201,274,309,4987,4975,13948,2767,1066,1520,681,645,33,23,5694,4255,520,20,0,1,73,47,5,3,22,129,7,17,15,24,46,15,41,7,48,4058,196,0,3,431,730,19,13,313,756,93,82,40,94,123,97,622,55,391,701,344,135,86.2,9.9,11552111,1441570,11124173,2894891,1443369,905472,174856,0,0,2,62,751,2,43,398,0,0,0,0,1,223,7730,4024,3706,220,149,71,4278,1586,2692,1656,1572,4261,2,1,14380,480,99,18,0,0,3,3,5,5,2,1
R31384,íπéÊåß,ì˙ãgí√ë∫,3501,1628,1873,3448,1612,1836,507,246,261,1979,974,1005,986,397,589,497,180,317,32,22,39,161,155,1243,1240,3433,686,300,264,122,112,7,6,420,413,263,2,1,0,29,10,0,1,1,117,2,11,7,29,18,6,13,3,13,2381,19,4,0,241,173,0,0,45,1082,8,33,60,308,115,11,204,12,66,93,55,45,77.0,10.8,3435100,908171,3324022,1628689,145330,259679,0,0,0,1,24,228,0,0,0,0,0,0,0,0,0,1813,968,845,54,18,36,957,315,642,126,389,1244,1,1,3633,44,108,23,2,0,5,1,5,3,17,1
R31386,íπéÊåß,ëÂéRí¨,15370,7390,7980,15251,7343,7908,1684,868,816,7491,3852,3639,6195,2670,3525,3295,1236,2059,119,70,317,265,273,5247,5225,14824,2774,1148,1747,785,732,37,17,18974,7915,482,34,1,0,48,35,1,3,11,108,3,8,10,66,44,12,33,17,48,3890,246,1,0,353,943,9,10,192,546,27,40,68,292,158,40,751,98,116,1353,629,163,93.3,9.9,12436753,1621746,11727637,3056744,892373,1126917,34859,0,0,4,70,726,3,45,338,0,0,0,0,0,0,8232,4458,3774,311,212,99,5138,1848,3290,1956,1611,4641,6,3,15091,1364,92,28,0,0,10,5,11,6,12,4
R31389,íπéÊåß,ìÏïîí¨,10323,4925,5398,10228,4883,5345,1179,588,591,5261,2657,2604,3879,1677,2202,1976,766,1210,92,39,151,239,257,3548,3531,10019,1869,775,1079,522,465,23,13,11403,2821,247,8,0,0,34,19,0,3,6,47,3,1,10,21,25,8,29,7,26,2972,112,0,0,259,1135,0,15,56,287,10,3,21,111,84,155,546,41,137,600,321,103,88.9,9.6,8009820,1015580,7714321,2380359,416898,594297,280681,0,0,3,48,466,2,32,265,0,0,0,0,0,0,5350,2875,2475,177,116,61,3482,1272,2210,587,1369,3268,2,2,10282,1182,42,14,1,1,5,1,24,2,14,4
R31390,íπéÊåß,îå„Àí¨,10696,5051,5645,10636,5032,5604,1282,633,649,5148,2578,2570,4243,1831,2412,2260,840,1420,47,58,168,259,290,3648,3637,10214,2032,757,1181,583,478,28,10,13944,4253,297,16,0,1,26,22,1,3,9,69,3,7,10,39,29,5,28,8,21,2800,106,0,8,179,346,1,19,72,536,39,69,43,304,235,10,656,45,132,746,293,100,87.1,6.8,8466936,1343191,7884099,2480675,514715,648504,12021,0,0,4,61,505,2,35,289,0,0,0,0,0,0,5469,2935,2534,182,114,68,3585,1272,2313,873,1050,3495,4,2,10315,1600,63,12,1,2,6,3,16,4,18,4
R31401,íπéÊåß,ì˙ìÏí¨,4196,1982,2214,4168,1964,2204,296,153,143,1708,940,768,2190,887,1303,1380,480,900,28,13,109,69,108,1791,1785,4069,811,626,611,333,424,9,3,34096,3601,238,32,0,0,32,9,1,0,9,52,2,6,5,18,22,2,10,13,25,1384,238,0,0,269,116,2,0,56,245,8,23,17,57,37,16,177,60,63,473,179,79,93.7,7.2,7475042,457187,7156686,1066010,675769,460511,262418,0,0,1,12,106,1,14,61,0,0,0,0,0,0,2151,1225,926,50,40,10,1690,558,1132,678,373,1085,0,1,4039,685,46,11,0,1,1,1,7,2,6,0
R31402,íπéÊåß,ì˙ñÏí¨,2907,1323,1584,2884,1322,1562,183,84,99,1253,650,603,1471,589,882,868,299,569,23,7,86,52,95,1210,1204,2745,561,422,405,201,267,6,4,13398,1387,157,6,0,1,18,12,0,0,4,44,3,4,3,16,17,2,9,4,14,868,63,0,13,108,74,0,0,23,191,18,7,16,63,25,4,211,25,27,199,171,52,81.8,6.9,4845965,328381,4650517,681913,216225,1278790,8251,0,0,0,0,0,0,0,0,1,23,73,36,1,84,1437,787,650,43,34,9,1232,413,819,224,309,872,1,1,2699,392,37,13,0,1,2,1,12,2,7,1
R31403,íπéÊåß,ç]ï{í¨,2672,1241,1431,2662,1240,1422,189,93,96,1172,605,567,1311,543,768,816,301,515,10,6,77,66,68,953,949,2544,445,241,324,164,185,7,1,12452,2237,105,5,0,0,15,14,0,0,7,18,1,1,3,9,6,0,13,3,10,921,31,0,0,130,192,0,0,161,83,5,3,18,57,7,0,189,22,23,340,143,73,95.9,13.9,4856846,710087,4542698,741982,660270,359393,4200,0,0,0,0,0,0,0,0,1,26,85,43,0,0,1420,776,644,35,30,5,1022,339,683,291,284,800,1,1,2538,196,17,3,0,0,3,0,3,1,1,1
R32201,ìáç™åß,èºç]és,203616,98544,105072,198573,95843,102730,25931,13359,12572,113547,57385,56162,59498,25123,34375,31598,11673,19925,1336,1282,2666,5256,5682,85593,85329,195979,44549,31422,19078,9962,9384,741,248,57296,16000,9425,52,16,1,844,459,17,131,159,2347,214,606,487,1018,840,334,919,81,900,96193,531,259,13,8009,7681,844,2439,3717,19521,3683,2583,2906,8295,3421,3279,16240,673,12099,1622,2013,1270,92.8,9.9,115101694,28879051,111693641,40159191,8895731,11267531,1183434,24,397,32,681,9433,17,423,4881,3,123,1063,648,12,5648,97465,51962,45503,2867,1747,1120,61844,23131,38713,3183,17464,74164,29,4,196360,5496,1632,826,35,8,220,79,631,133,460,71
R32202,ìáç™åß,ïlìcés,54592,27298,27294,53624,26919,26705,5940,3024,2916,28524,15611,12913,19445,8160,11285,10545,3822,6723,651,244,906,1237,1709,24370,23821,51063,12103,9361,6160,3428,3849,133,66,69064,11658,2938,53,8,1,286,179,12,18,89,716,66,145,110,295,293,66,278,47,276,25045,538,161,8,2233,3073,230,123,1473,4955,621,357,694,1823,1255,507,5042,328,1624,1062,948,381,94.3,10.8,42103833,7377023,40703785,11777543,2830213,2886707,1241746,3,39,15,229,2279,8,145,1219,0,0,0,0,3,934,27156,15092,12064,763,488,275,18892,7544,11348,1588,5809,19329,0,6,49096,13148,525,218,5,3,59,22,172,30,124,23
R32203,ìáç™åß,èoâ_és,172775,83469,89306,166846,80284,86562,23315,11956,11359,95332,47887,47445,51944,22402,29542,27198,10293,16905,4158,1196,2352,4133,3824,64408,64211,168073,33316,18810,14650,7042,5913,642,237,62432,22856,7658,136,7,6,821,511,15,48,140,2005,96,356,336,754,755,219,711,115,627,80756,1716,100,50,6480,15959,191,568,2552,15632,1361,1347,2087,5111,2684,1825,13284,985,8824,2487,3074,776,82.9,12.5,88646252,24113872,85922704,30368022,8405234,10116718,1626999,25,702,34,688,9663,16,416,4843,0,0,0,0,8,4296,88715,47379,41336,2382,1481,901,48954,17703,31251,4553,24220,56390,0,7,172794,20950,1598,615,22,9,162,60,842,111,450,52
R32204,ìáç™åß,âvìcés,45003,21355,23648,44089,20959,23130,5284,2751,2533,21988,11045,10943,17017,7181,9836,8997,3290,5707,347,205,754,967,1148,18870,18805,43208,10314,6135,5430,3172,3126,124,68,73319,9960,2351,57,4,5,237,131,10,10,49,579,42,102,117,270,234,54,219,44,187,19524,638,30,27,1859,2489,94,71,819,4232,340,277,612,1286,708,415,3960,318,1349,810,917,337,91.1,10.5,32426671,5405824,31133165,10291809,2063205,2776125,250140,5,57,15,234,2089,9,159,1157,0,0,0,0,4,1467,21270,11275,9995,669,433,236,15685,5799,9886,1590,4322,14886,21,2,43832,11398,439,214,6,2,47,25,133,33,124,29
R32205,ìáç™åß,ëÂìcés,32846,15742,17104,32347,15516,16831,3655,1944,1711,15778,8042,7736,13264,5677,7587,7284,2650,4634,338,154,635,589,856,13343,13296,31687,7325,4054,4253,2279,2337,91,28,43534,9917,1749,33,11,5,181,124,2,7,48,438,27,82,71,156,149,40,143,36,196,12435,416,85,27,1217,1986,9,58,474,2636,228,191,202,766,473,156,2434,274,803,827,802,288,96.0,11.1,25806707,3815921,25135098,7837910,1954903,1748262,461003,1,13,15,177,1437,6,92,797,0,0,0,0,2,610,15840,8615,7225,498,339,159,12266,4521,7745,1404,4191,10156,7,3,32323,10478,347,121,4,1,36,12,71,17,60,18
R32206,ìáç™åß,à¿óàés,37062,17743,19319,36697,17609,19088,4277,2204,2073,18817,9609,9208,13835,5866,7969,7521,2806,4715,262,168,576,554,830,12835,12798,35880,6690,3036,3763,1789,1545,87,41,42093,9813,1541,42,0,1,172,145,1,3,41,379,17,60,56,130,142,35,133,30,154,15547,580,0,6,1130,5417,1,18,1016,2109,144,219,224,720,356,264,2559,175,609,1640,761,338,89.5,13.7,27377253,5074685,26567505,7351272,2425620,2222880,469006,4,29,17,199,1653,5,99,917,0,0,0,0,2,598,19181,10263,8918,538,357,181,12131,4466,7665,1882,5611,11123,27,1,35948,4531,307,100,3,2,32,9,72,6,59,16
R32207,ìáç™åß,ç]í√és,22959,10890,12069,22650,10779,11871,2403,1199,1204,11467,5879,5588,9008,3744,5264,4901,1695,3206,282,94,433,493,639,9953,9894,21737,5351,3501,2952,1698,1994,53,27,26824,5637,1201,19,2,6,102,93,6,5,33,294,17,62,52,126,112,31,107,23,111,9086,181,17,32,858,1740,55,28,398,1650,155,150,149,488,286,202,2102,86,509,234,429,211,92.7,11.0,17991132,2882664,17013889,5392192,1773719,1093232,403586,0,0,7,106,944,4,63,481,0,0,0,0,4,788,10832,5787,5045,322,222,100,8970,3426,5544,455,2712,7520,0,2,21852,6067,244,97,2,2,28,7,41,12,39,8
R32209,ìáç™åß,â_ìÏés,36007,17316,18691,35771,17249,18522,4041,2082,1959,17487,8875,8612,14422,6325,8097,7878,2985,4893,212,154,730,587,788,12432,12391,35021,6219,2810,3773,1789,1620,72,38,55318,11235,1727,50,1,0,269,157,4,7,30,432,21,46,63,101,160,29,134,32,191,13801,614,12,0,1396,3517,11,16,406,2765,206,171,165,514,502,132,2394,153,827,1791,1465,393,97.0,10.9,32646211,3932845,31633169,7380182,2596127,2928917,2035908,7,89,15,195,1610,6,114,882,0,0,0,0,3,688,19267,10517,8750,424,277,147,11751,4167,7584,1784,5148,11567,0,3,35206,5061,381,68,3,2,28,14,63,21,50,12
R32343,ìáç™åß,âúèoâ_í¨,11849,5705,6144,11759,5684,6075,1160,593,567,5341,2806,2535,5130,2230,2900,2888,1075,1813,89,40,266,212,307,4356,4341,11421,1925,1242,1352,679,654,23,5,36801,6105,627,41,0,2,69,71,0,7,13,173,8,10,10,65,39,15,41,12,51,4417,520,0,49,427,973,0,7,122,752,33,81,21,373,82,157,665,63,92,1246,387,118,88.1,15.9,15532862,1192464,15187698,2551715,1625253,821778,507508,0,0,9,91,459,2,39,244,0,0,0,0,1,198,6087,3412,2675,150,105,45,4156,1474,2682,1094,1726,3230,9,0,11214,1456,157,41,0,1,10,3,21,4,11,6
R32386,ìáç™åß,î—ìÏí¨,4577,2157,2420,4535,2147,2388,463,245,218,1998,1030,968,2114,880,1234,1254,444,810,42,19,91,104,151,1769,1754,4280,852,529,564,317,324,9,8,24288,3210,297,35,0,0,31,29,1,1,11,69,1,2,9,20,21,2,19,7,39,1923,255,0,0,215,296,6,1,77,271,6,3,23,144,134,6,345,35,106,392,115,82,96.7,9.3,8560813,474421,8303930,1336588,670031,456449,806717,0,0,4,40,161,2,26,98,0,0,0,0,1,166,2466,1332,1134,47,36,11,1576,532,1044,512,459,1464,5,2,4493,607,60,13,0,1,6,1,11,4,5,4
R32441,ìáç™åß,êÏñ{í¨,3248,1556,1692,3229,1552,1677,320,160,160,1477,784,693,1433,605,828,836,300,536,19,12,66,143,161,1407,1396,2961,717,537,444,281,298,11,1,10643,1677,246,6,1,0,25,13,0,2,6,63,3,7,15,22,22,0,22,4,35,1498,87,2,0,212,101,0,2,112,263,18,8,35,71,57,0,417,13,100,130,94,50,84.8,8.5,4781658,333130,4653779,972832,527885,497631,150119,0,0,1,15,126,1,11,59,0,0,0,0,1,250,1538,861,677,35,21,14,1325,501,824,201,277,1058,3,1,3048,716,50,17,0,1,2,2,8,6,5,3
R32448,ìáç™åß,î¸ãΩí¨,4355,2080,2275,4337,2074,2263,498,261,237,1772,937,835,2084,881,1203,1203,439,764,18,14,103,92,108,1844,1835,4153,956,633,624,367,442,8,3,28292,3164,273,17,0,0,32,17,3,0,8,54,2,6,6,12,24,3,27,12,50,1298,133,0,0,217,106,14,0,37,184,11,16,10,43,56,5,345,37,84,233,239,74,91.3,12.4,6823074,448002,6626011,1334286,741726,534396,133627,0,0,2,26,162,2,24,112,0,0,0,0,0,0,1985,1129,856,53,29,24,1804,652,1152,265,426,1292,9,1,4089,511,49,5,0,0,8,1,3,1,3,2
R32449,ìáç™åß,óWìÏí¨,10163,4874,5289,10063,4821,5242,1084,548,536,4478,2349,2129,4582,1967,2615,2666,1000,1666,84,40,243,184,247,3994,3958,9254,2097,1246,1262,770,781,19,7,41929,5688,582,33,0,1,69,41,1,3,20,148,4,8,26,54,42,6,66,19,41,3780,288,0,2,389,410,4,13,129,797,27,24,82,184,74,20,1185,50,102,918,487,144,91.4,13.2,14248069,1130980,13872841,2564958,839508,1669604,308501,0,0,8,79,428,3,36,224,0,0,0,0,1,269,5290,2858,2432,106,73,33,3592,1348,2244,1064,913,3264,20,3,9784,1127,135,37,1,1,18,3,24,4,15,9
R32501,ìáç™åß,í√òañÏí¨,6875,3221,3654,6823,3216,3607,593,310,283,2944,1528,1416,3337,1382,1955,1932,693,1239,52,17,174,188,266,3090,3084,6686,1548,1127,1014,610,734,18,2,30703,2664,395,21,0,1,42,26,0,1,13,107,6,10,8,50,31,7,28,10,34,2081,174,0,3,274,176,0,4,89,388,28,19,22,148,45,9,510,40,152,290,286,94,87.0,10.2,10349418,658936,10169969,1980750,743213,1430610,319625,0,0,4,45,235,2,31,131,0,0,0,0,1,165,3367,1830,1537,106,73,33,2689,952,1737,426,571,2297,12,2,6610,1603,94,35,0,1,6,2,11,5,11,3
R32505,ìáç™åß,ãgâÍí¨,6077,2944,3133,5855,2816,3039,573,282,291,2745,1494,1251,2720,1129,1591,1571,558,1013,221,26,128,152,205,2833,2822,5694,1412,1167,828,520,553,12,6,33650,2610,321,15,0,0,41,29,0,0,13,90,3,7,8,27,28,5,26,8,21,2406,129,0,0,213,557,0,0,167,343,14,12,12,106,55,16,642,34,106,444,258,81,86.9,8.0,7489021,547154,7197653,1715119,704543,895135,148082,0,0,5,49,228,3,32,89,0,0,0,0,1,95,3010,1688,1322,84,68,16,2256,796,1460,382,841,1767,6,1,5599,1693,78,17,0,1,7,2,11,3,10,4
R32525,ìáç™åß,äCémí¨,2267,1113,1154,2255,1107,1148,244,123,121,1118,581,537,905,409,496,493,194,299,12,7,28,188,172,1068,1060,2119,530,455,313,206,179,2,2,3344,777,160,5,6,0,16,12,0,2,11,29,3,0,4,21,15,1,5,7,23,817,48,15,0,102,59,0,2,55,107,5,0,21,80,41,21,135,33,93,55,64,55,84.8,7.5,6596177,241029,6458137,732002,504232,568201,108195,0,0,2,24,104,1,12,60,0,0,0,0,1,150,1147,645,502,28,20,8,848,325,523,163,179,803,1,1,2131,103,27,13,0,0,2,1,2,1,0,1
R32526,ìáç™åß,êºÉmìáí¨,2788,1430,1358,2757,1407,1350,253,142,111,1246,706,540,1289,582,707,668,260,408,31,8,55,122,129,1415,1409,2672,711,631,447,290,305,9,0,5597,584,202,1,3,0,23,14,0,1,10,54,2,3,3,34,22,4,10,4,14,962,1,71,0,116,45,0,6,96,211,9,6,3,123,40,8,153,20,54,25,21,63,89.8,11.9,6047240,282712,5758378,764929,348871,253321,254628,0,0,1,13,104,1,11,48,0,0,0,0,0,0,1354,814,540,31,25,6,1150,449,701,213,192,949,2,1,2565,300,47,17,0,1,4,1,7,1,4,2
R32527,ìáç™åß,ímïvë∫,634,323,311,631,321,310,69,28,41,281,158,123,284,137,147,151,67,84,3,5,5,45,53,350,340,608,145,180,87,65,93,2,1,1370,263,41,0,0,0,8,1,0,0,3,15,0,0,0,3,3,0,2,2,4,154,0,0,0,30,5,0,0,14,29,0,0,0,17,7,0,29,13,10,16,9,24,83.6,11.4,2079065,55442,2005747,224962,212720,75956,54403,0,0,1,9,24,1,8,9,0,0,0,0,0,0,305,187,118,5,4,1,255,104,151,52,35,217,1,0,601,12,14,1,0,0,1,1,1,2,0,1
R32528,ìáç™åß,âBäÚÇÃìáí¨,13433,6531,6902,13356,6508,6848,1538,791,747,6316,3352,2964,5570,2381,3189,2906,1038,1868,73,74,250,415,489,5962,5918,12750,3256,2160,1841,1076,1200,39,11,24262,3225,903,16,12,2,122,47,1,6,34,226,8,54,25,113,89,7,60,19,62,4873,161,277,20,778,231,22,15,208,941,93,85,104,414,223,13,980,61,247,175,420,220,88.7,11.5,18887286,1509229,18559577,3697119,1222829,1370603,868839,0,0,7,89,646,4,51,305,0,0,0,0,2,346,6317,3516,2801,178,120,58,5264,2032,3232,629,997,4651,4,1,13424,6135,170,81,1,1,13,6,29,4,21,8
R33100,â™éRåß,â™éRés,724691,348630,376061,694651,333235,361416,92756,47526,45230,424785,210504,214281,185732,79007,106725,97154,37252,59902,11844,4871,8045,27642,28063,327620,326986,706671,169536,134334,64507,34812,35368,3020,1097,78995,44111,32683,140,2,11,3157,1760,95,486,765,8119,679,2731,1888,3488,2698,1007,2938,172,2547,353376,1419,11,68,25087,36320,728,9472,20643,75209,10093,10962,12410,28402,12212,15344,55421,2194,37381,5557,2941,3351,89.3,5.3,391046068,133319677,375817774,143818135,42940809,57878276,0,49,2941,91,2413,36310,44,1357,18948,1,41,245,145,26,20444,330721,177017,153704,13782,8372,5410,210761,74931,135830,7487,69148,245491,58,10,699112,51193,5335,2991,137,50,625,417,3217,919,2136,99
R33202,â™éRåß,ëqï~és,474592,228261,246331,440084,213135,226949,58486,29868,28618,249921,122761,127160,125532,54731,70801,65415,26501,38914,4361,3318,5712,10665,11153,199082,198749,463538,109898,68504,45783,24541,19321,1986,744,35607,25685,17484,44,1,7,2027,1502,30,95,525,4294,278,1346,694,1720,1559,513,1545,103,1201,205199,406,2,63,17161,41898,689,881,14242,36959,3690,4919,6511,15432,6817,4785,35549,1242,13953,2265,2944,2047,86.8,2.5,226445818,87637993,215286796,84600035,23623771,23931510,47761,53,3691,62,1649,25388,28,931,13248,0,0,0,0,22,12179,209494,113950,95544,7439,4521,2918,133981,47671,86310,3627,61799,136523,48,6,476266,26567,3225,1381,73,32,345,220,1914,378,995,80
R33203,â™éRåß,í√éRés,99937,48012,51925,97681,46907,50774,12449,6450,5999,55234,27746,27488,30544,12829,17715,16054,5946,10108,832,614,1426,2425,2917,41213,41075,95816,22111,14181,9750,5224,5106,354,158,50633,15241,4756,43,0,3,438,367,19,30,124,1281,92,290,179,485,409,122,431,52,391,44528,434,0,12,2985,7377,242,354,2074,9817,1052,1174,1155,3351,1513,1094,7945,582,3367,2598,1678,609,91.7,12.4,52247762,13557653,50302264,18153239,4403939,4655797,142426,4,302,27,452,4822,9,231,2631,0,0,0,0,5,3321,48532,26110,22422,1552,970,582,29971,10615,19356,2604,13080,30798,34,4,96314,13852,956,412,18,7,91,43,299,61,224,26
R33204,â™éRåß,ã ñÏés,56531,27437,29094,55556,26991,28565,5608,2950,2658,28734,14685,14049,21774,9570,12204,11632,4706,6926,615,228,959,1147,1350,24090,24020,54915,14486,7531,7966,4510,3858,122,64,10344,4436,2107,6,1,1,216,220,5,15,72,492,25,141,81,152,212,43,239,17,169,23626,58,1,4,1267,9426,26,213,1258,2996,273,352,666,970,1045,261,3542,175,1093,332,465,356,90.7,4.0,29080225,7520724,26604532,9475504,1754499,3815227,6366,5,94,14,232,2239,7,121,1106,0,0,0,0,4,1490,24893,13863,11030,947,644,303,20236,7540,12696,645,7615,15546,16,1,55113,2184,394,118,4,7,48,34,85,52,105,11
R33205,â™éRåß,ä}â™és,46088,21866,24222,45238,21511,23727,4419,2247,2172,23004,11443,11561,17064,7285,9779,9547,3626,5921,490,187,797,855,1089,18466,18406,43965,10650,5513,5681,3028,3003,110,62,13607,8443,1860,25,2,5,169,205,6,9,72,432,30,65,64,181,167,40,190,28,170,18958,754,17,8,1071,5424,34,84,981,2733,394,256,343,990,573,244,3361,313,1378,305,1024,331,93.6,7.2,25628587,7208888,24860587,8635053,2851085,2459218,91566,1,1,16,204,1812,11,129,1065,0,0,0,0,4,1633,20625,11127,9498,1107,739,368,18136,6762,11374,997,6428,12708,21,1,44965,8858,328,150,3,3,40,21,91,32,77,6
R33207,â™éRåß,à‰å¥és,38384,18353,20031,37788,18151,19637,3880,1977,1903,20028,10142,9886,14355,6156,8199,8072,3079,4993,512,155,697,623,842,14732,14694,37387,8408,3938,4590,2265,2136,72,43,24354,8438,1577,15,0,0,161,255,2,6,37,391,21,75,29,104,145,31,143,24,138,14639,79,0,0,850,5872,3,39,842,2375,203,164,150,477,527,136,2231,214,477,774,1148,246,86.9,9.0,25431493,4578438,24498896,6656146,2291488,3856671,146162,13,156,13,183,1441,5,94,835,0,0,0,0,3,694,18727,10010,8717,741,497,244,13706,5174,8532,1147,6763,9898,20,3,36523,7078,319,80,4,3,27,20,47,25,56,9
R33208,â™éRåß,ëçé–és,69030,33425,35605,66634,32346,34288,9589,4986,4603,39165,19494,19671,19408,8508,10900,9800,3933,5867,1593,497,873,1916,1771,27110,27066,67844,15679,8189,6624,3517,2563,219,107,21190,7862,2243,16,0,0,271,218,6,14,63,525,31,137,83,175,236,59,222,18,169,25397,209,0,0,1250,8813,23,58,2238,4044,388,337,288,1488,949,543,3788,220,761,1184,1042,290,91.5,6.8,34579556,8815277,33322405,11253660,1883695,3341037,1570,15,719,13,298,3846,3,132,1902,1,28,97,90,2,1415,32290,17453,14837,1058,708,350,20538,7382,13156,1314,9369,20170,27,1,69733,2856,448,153,7,3,46,28,68,52,84,13
R33209,â™éRåß,çÇó¿és,29072,14225,14847,28056,13597,14459,2546,1291,1255,14264,7622,6642,11904,5065,6839,6889,2507,4382,900,80,552,535,866,12886,12838,27672,5862,5342,3521,1991,2175,56,30,54699,11902,1488,29,1,2,141,98,6,2,46,388,21,137,49,133,115,33,100,36,151,13196,272,2,20,1124,3459,87,41,660,2145,187,297,237,733,362,316,2312,269,673,1310,1249,284,96.2,11.8,26639598,3794482,25724396,6342160,2610181,2603419,1124917,9,46,14,154,981,6,83,527,0,0,0,0,5,862,13890,7693,6197,371,254,117,10761,4096,6665,1460,4032,7797,15,1,27067,2798,331,99,3,3,30,13,69,22,53,4
R33210,â™éRåß,êVå©és,28079,13411,14668,27757,13296,14461,2676,1426,1250,13644,6927,6717,11606,4960,6646,6728,2522,4206,271,82,545,489,766,11324,11287,27028,5595,3725,3390,1925,1878,57,23,79329,10286,1429,41,0,3,154,138,10,7,44,352,16,42,48,113,126,33,104,43,155,10736,380,0,62,996,2370,18,39,638,1966,118,120,175,529,376,232,1850,421,446,1527,1289,316,86.3,7.8,28541448,3671757,26751957,5759349,3427142,3568875,835844,0,0,15,154,971,5,71,558,0,0,0,0,2,503,13719,7464,6255,435,317,118,10782,3945,6837,1969,3662,8033,37,2,26762,4625,295,89,1,4,27,10,32,12,44,4
R33211,â™éRåß,îıëOés,32320,15516,16804,31623,15054,16569,2961,1538,1423,16406,8415,7991,12732,5397,7335,7117,2730,4387,548,117,612,618,805,13486,13444,31366,7693,4218,4379,2492,2250,61,43,25813,4779,1694,15,5,2,138,253,2,8,135,445,23,52,48,141,86,41,117,22,161,15704,60,53,7,705,5992,2,17,2121,2323,340,129,333,639,308,135,1568,215,757,296,491,230,89.1,9.6,22594262,5025749,21217098,5542449,2925080,2209980,20405,0,0,10,144,1152,5,75,608,0,0,0,0,2,377,14951,8240,6711,558,383,175,12245,4494,7751,623,4954,8805,16,3,31535,3838,368,100,3,4,31,16,50,18,46,2
R33212,â™éRåß,ê£åÀì‡és,36048,17319,18729,35407,17048,18359,4071,2185,1886,19264,9640,9624,12422,5347,7075,6681,2620,4061,420,187,543,923,908,14068,14030,35007,8728,3671,4302,2322,1874,101,56,12546,6886,1236,19,3,0,114,174,1,3,55,281,12,34,32,117,99,40,108,17,127,16550,541,12,0,565,6443,1,4,1108,2216,113,126,110,634,305,163,1935,146,2128,738,457,289,86.9,8.6,25669465,5691591,24908517,7285178,3045008,3178675,0,6,164,9,172,1677,3,83,933,0,0,0,0,1,334,17031,9206,7825,683,418,265,12683,4698,7985,1516,4963,10110,7,3,36312,6390,232,74,4,4,29,16,67,36,49,8
